lon	lat	type	loctype	address	north	south	east	west	postal_code	country	administrative_area_level_2	administrative_area_level_1	locality	street	streetNo	point_of_interest	query
-77.6305293	34.3651685	locality	approximate	topsail beach, nc, usa	34.3967652	34.347588	-77.5930201	-77.6715131	NA	united states	pender county	north carolina	topsail beach	NA	NA	NA	South+Topsail+Beach,NC
-104.9013617	40.4774818	locality	approximate	windsor, co, usa	40.543665	40.4070611	-104.8497869	-104.9917241	NA	united states	weld county	colorado	windsor	NA	NA	NA	Windsor,CO
-122.4907566	40.598119	locality	approximate	shasta, ca, usa	40.749998	40.559429	-122.4353931	-122.563696	NA	united states	shasta county	california	shasta	NA	NA	NA	Shasta+City,CA
-119.8138027	39.5296329	locality	approximate	reno, nv, usa	39.723436	39.3924261	-119.6993449	-120.0023379	NA	united states	washoe county	nevada	reno	NA	NA	NA	Reno,NE
9.4151589	55.040852	locality	approximate	6200 aabenraa, denmark	55.1310194	54.9073491	9.6316576	9.2694666	6200	denmark	aabenraa municipality	region syddanmark	aabenraa	NA	NA	NA	Aabenraa+,
-112.2427894	34.5056894	locality	approximate	dewey-humboldt, az, usa	34.543073	34.4848081	-112.2003789	-112.30932	NA	united states	yavapai county	arizona	dewey-humboldt	NA	NA	NA	Dewey,AZ
-90.5697085	38.4096193	locality	approximate	house springs, mo, usa	38.448763	38.3435794	-90.512922	-90.585528	NA	united states	jefferson county	missouri	house springs	NA	NA	NA	House+Springs,MO
-120.7401386	47.7510741	administrative_area_level_1	approximate	washington, usa	49.0024305	45.5485987	-116.91558	-124.7857167	NA	united states	NA	washington	NA	NA	NA	NA	Hanford+Nuclear+facility+,WA
-87.2775053	33.8312185	locality	approximate	jasper, al, usa	33.9093719	33.7903639	-87.2039749	-87.361896	NA	united states	walker county	alabama	jasper	NA	NA	NA	Jasper,AL
-98.413128	35.8447654	locality	approximate	watonga, ok, usa	35.9402118	35.8178219	-98.388739	-98.4444249	NA	united states	blaine county	oklahoma	watonga	NA	NA	NA	Watonga,OK
error	error	NA	NA	NA	error	error	error	error	error	error	error	error	error	error	error	error	error
-88.5426136	44.0247062	locality	approximate	oshkosh, wi, usa	44.091111	43.9450389	-88.5079	-88.622697	NA	united states	winnebago county	wisconsin	oshkosh	NA	NA	NA	Oshkosh,WI
-117.7253305	33.6103009	locality	approximate	laguna woods, ca, usa	33.622749	33.594046	-117.701085	-117.754382	NA	united states	orange county	california	laguna woods	NA	NA	NA	Laguna+Woods,CA
-74.2687291	40.3380949	locality	approximate	marlboro township, nj, usa	40.3959241	40.2772439	-74.197556	-74.327404	NA	united states	monmouth county	new jersey	marlboro township	NA	NA	NA	Marlboro,NJ
-121.0610606	39.2190608	locality	approximate	grass valley, ca, usa	39.244015	39.1935609	-121.0238109	-121.0835971	NA	united states	nevada county	california	grass valley	NA	NA	NA	Grass+Valley,CA
-121.016225	38.8880247	locality	approximate	cool, ca 95614, usa	38.8967093	38.8793391	-121.0002176	-121.0322324	95614	united states	el dorado county	california	cool	NA	NA	NA	Cool,CA
-97.3717118	37.2653004	locality	approximate	wellington, ks, usa	37.297056	37.2522301	-97.3643	-97.424954	NA	united states	sumner county	kansas	wellington	NA	NA	NA	Wellington,KS
-95.3169136	36.3084275	locality	approximate	pryor creek, ok 74361, usa	36.3364361	36.249384	-95.256063	-95.3459199	74361	united states	mayes county	oklahoma	pryor creek	NA	NA	NA	Pryor,OK
-96.8313978	39.0286093	locality	approximate	junction city, ks, usa	39.0894779	38.986401	-96.80234	-96.887317	NA	united states	geary county	kansas	junction city	NA	NA	NA	Junction+City,KS
-116.5634624	43.5407172	locality	approximate	nampa, id, usa	43.648665	43.52346	-116.48121	-116.644577	NA	united states	canyon county	idaho	nampa	NA	NA	NA	Nampa+,ID
-78.944148	44.1050454	locality	approximate	port perry, on, canada	44.1227258	44.0748852	-78.9351871	-78.9885757	NA	canada	durham regional municipality	ontario	port perry	NA	NA	NA	Port+Perry+,ON
-121.3644216	38.7166871	locality	approximate	antelope, ca, usa	38.7289059	38.702247	-121.30883	-121.4034819	NA	united states	sacramento county	california	antelope	NA	NA	NA	Antelope,CA
