"long","lat","locale"
"-80.99998","24.731436",2
"-80.813678","24.824026",1
"-80.804872","24.83059",1
"-168.021815","24.859832",88
"-80.710993","24.893835",1
"-80.682667","24.90169",5
"-80.552284","24.976242",25
"-80.517366","25.01003",1
"-80.50319","25.02947",1
"-80.41158","25.12273",10
"-80.915041","25.141919",3
"-80.479224","25.44789",2
"-80.469016","25.472346",2
"-80.392688","25.562153",1
"-80.32983","25.579449",1
"-80.354818","25.602665",1
"-80.353665","25.605106",1
"-80.343496","25.606126",1
"-80.324775","25.621772",2
"-80.317274","25.67927",8
"-80.293385","25.707602",1
"-80.256995","25.712601",1
"-80.253998","25.715633",1
"-80.270379","25.753332",7
"-80.296162","25.763433",1
"-80.31051","25.768701",1
"-80.130046","25.790654",23
"-80.289495","25.82232",1
"-80.280335","25.82265",1
"-80.32644","25.840653",1
"-80.159128","25.849054",1
"-80.178002","25.853765",271
"-80.278106","25.857596",21
"-81.386157","25.857659",5
"-80.192825","25.863152",1
"-80.324496","25.865096",3
"-80.125601","25.878429",1
"-80.186714","25.890095",8
"-80.265122","25.908575",57
"-80.308662","25.908706",9
"-81.645641","25.924821",1
"-80.122036","25.92989",1
"-80.135801","25.933997",17
"-81.696751","25.938768",8
"-80.245605","25.942038",1
"-80.278855","25.948468",1
"-80.122823","25.950648",3
"-80.122739","25.958561",1
"-97.550453","25.963264",15
"-80.120907","25.96424",1
"-80.122267","25.965092",1
"-80.120693","25.968332",1
"-80.148379","25.981203",2
"-80.232271","25.987314",6
"-80.149749","25.996489",1
"-80.244711","26.027261",21
"-80.143934","26.052311",5
"-80.271716","26.057311",6
"-80.337273","26.0587",1
"-97.846971","26.062007",1
"-80.159667","26.062416",1
"-80.275056","26.067529",40
"-97.21905","26.069517",1
"-97.47637","26.07174",1
"-97.20858","26.07341",4
"-97.159325","26.073722",1
"-97.84664","26.07675",1
"-80.127267","26.097032",2
"-98.26307","26.10035",1
"-97.290254","26.100911",2
"-97.16469","26.10369",3
"-80.37067","26.114337",13
"-80.127909","26.121323",62
"-80.15347","26.122037",20
"-80.104097","26.122506",1
"-80.26266","26.133542",1
"-80.213381","26.140364",2
"-81.79481","26.142036",70
"-80.448254","26.145724",8
"-97.91361","26.1498",2
"-80.226211","26.151416",21
"-97.53175","26.152353",4
"-97.989155","26.158623",5
"-97.82389","26.15896",1
"-80.138934","26.160363",2
"-80.131989","26.172307",12
"-98.12306","26.18369",3
"-80.172424","26.185954",8
"-80.096433","26.192028",2
"-97.633538","26.193819",1
"-98.161978","26.214873",2
"-80.225881","26.217305",6
"-80.269835","26.22969",2
"-80.089873","26.231958",1
"-80.120584","26.234772",25
"-98.474651","26.242565",1
"-80.206436","26.244526",9
"-80.209454","26.251573",7
"-97.565494","26.252266",3
"-97.667502","26.255523",5
"-80.270604","26.271192",45
"-98.56996","26.275293",2
"-98.183295","26.280689",8
"-80.078932","26.293969",1
"-80.23727","26.310079",5
"-80.09787","26.311102",18
"-80.101765","26.319665",1
"-81.778697","26.339806",12
"-80.10717","26.375954",53
"-98.838262","26.399892",1
"-98.141206","26.403323",1
"-81.80208","26.42279",6
"-81.902995","26.433124",7
"-82.081218","26.435105",7
"-80.081144","26.442943",1
"-80.098719","26.445597",2
"-98.276935","26.450369",14
"-80.081614","26.457598",37
"-82.100065","26.458308",2
"-98.752428","26.499887",1
"-82.192066","26.516908",1
"-82.180242","26.521464",22
"-82.088796","26.536796",1
"-80.185602","26.538412",4
"-97.426247","26.554299",1
"-81.575679","26.56664",1
"-98.965905","26.573299",1
"-80.051986","26.586736",9
"-80.038652","26.588958",1
"-81.846331","26.597956",2
"-80.038113","26.600995",7
"-81.95016","26.606491",60
"-80.242787","26.61092",29
"-81.878139","26.621074",43
"-80.124153","26.621188",2
"-82.128052","26.624433",2
"-80.13765","26.627672",2
"-80.096154","26.635901",3
"-80.430269","26.645895",87
"-80.71617","26.66396",2
"-80.2301","26.68375",1
"-81.448873","26.690881",3
"-81.912454","26.693048",3
"-80.230602","26.708398",13
"-98.44759","26.71278",1
"-80.227001","26.712809",1
"-80.070249","26.715844",68
"-81.437291","26.753033",1
"-82.261149","26.754493",1
"-80.058097","26.775341",1
"-81.4727","26.776189",1
"-80.066431","26.80034",2
"-81.106819","26.81578",4
"-80.66534","26.82006",1
"-80.072887","26.826051",1
"-80.052061","26.840418",4
"-80.087612","26.848356",14
"-82.20909","26.878263",8
"-80.053374","26.879782",2
"-82.269126","26.884228",1
"-81.195575","26.886471",2
"-80.192396","26.904408",1
"-82.078423","26.917562",1
"-82.35204","26.92534",2
"-82.045366","26.929784",23
"-80.131851","26.936558",36
"-82.352595","26.962005",32
"-82.152363","26.985889",29
"-80.108542","26.989221",4
"-82.229366","27.000354",1
"-80.158594","27.050934",10
"-98.692717","27.07069",2
"-80.143619","27.072433",1
"-82.175602","27.074755",21
"-82.457597","27.100055",1
"-98.789966","27.100448",4
"-80.454196","27.110182",1
"-81.390945","27.120281",1
"-80.890149","27.135279",2
"-80.346948","27.137133",14
"-82.464468","27.144031",7
"-82.380967","27.167521",25
"-80.254768","27.189748",15
"-82.47993","27.19137",5
"-81.858416","27.215883",9
"-80.237943","27.236473",10
"-80.246026","27.245158",1
"-82.512368","27.326379",1
"-81.36628","27.336002",7
"-82.547837","27.339802",1
"-81.228096","27.391447",1
"-82.523909","27.402542",140
"-80.534169","27.412128",14
"-82.65899","27.41254",4
"-80.945361","27.420316",15
"-97.851109","27.421428",1
"-97.84068","27.422876",8
"-82.438689","27.427213",3
"-82.428175","27.432223",1
"-81.373012","27.457947",11
"-80.333959","27.470129",3
"-82.682262","27.471256",1
"-82.639754","27.485505",2
"-82.710221","27.485915",1
"-82.709871","27.499515",5
"-99.492836","27.507483",1
"-99.494078","27.515879",12
"-81.784123","27.518602",2
"-82.269458","27.566457",10
"-81.85069","27.601936",2
"-81.458826","27.620252",5
"-81.820501","27.629864",2
"-80.40294","27.638005",37
"-80.367809","27.653909",1
"-81.625298","27.660968",1
"-97.74861","27.67447",1
"-80.367869","27.681759",2
